"long","lat","group","order","region","subregion"
-73.7740478515625,40.7716789245605,37,9484,"new york","long island"
-73.7625885009766,40.7774085998535,37,9485,"new york","long island"
-73.7568588256836,40.8003273010254,37,9486,"new york","long island"
-73.7339401245117,40.8003273010254,37,9487,"new york","long island"
-73.7224807739258,40.8060531616211,37,9488,"new york","long island"
-73.7224807739258,40.8347015380859,37,9489,"new york","long island"
-73.7052917480469,40.8461608886719,37,9490,"new york","long island"
-73.682373046875,40.8404350280762,37,9491,"new york","long island"
-73.6651840209961,40.8175163269043,37,9492,"new york","long island"
-73.6594543457031,40.8232421875,37,9493,"new york","long island"
-73.6594543457031,40.8347015380859,37,9494,"new york","long island"
-73.6651840209961,40.8518905639648,37,9495,"new york","long island"
-73.6308059692383,40.8805389404297,37,9496,"new york","long island"
-73.5620498657227,40.9091873168945,37,9497,"new york","long island"
-73.5334091186523,40.9034576416016,37,9498,"new york","long island"
-73.510482788086,40.8748092651367,37,9499,"new york","long island"
-73.4818420410156,40.8919982910156,37,9500,"new york","long island"
-73.493293762207,40.9149169921875,37,9501,"new york","long island"
-73.4818420410156,40.9321060180664,37,9502,"new york","long island"
-73.4646453857422,40.9378356933594,37,9503,"new york","long island"
-73.4188079833984,40.9091873168945,37,9504,"new york","long island"
-73.3901672363281,40.9091873168945,37,9505,"new york","long island"
-73.3729705810547,40.9321060180664,37,9506,"new york","long island"
-73.3500595092773,40.9321060180664,37,9507,"new york","long island"
-73.235466003418,40.9091873168945,37,9508,"new york","long island"
-73.2010879516602,40.9149169921875,37,9509,"new york","long island"
-73.1724395751953,40.9263725280762,37,9510,"new york","long island"
-73.1667098999023,40.9607543945312,37,9511,"new york","long island"
-73.1323318481445,40.9722099304199,37,9512,"new york","long island"
-73.0922241210938,40.9550247192383,37,9513,"new york","long island"
-72.9661712646484,40.9550247192383,37,9514,"new york","long island"
-72.8172073364258,40.9664802551270,37,9515,"new york","long island"
-72.7026138305664,40.9722099304199,37,9516,"new york","long island"
-72.6338577270508,40.9893989562988,37,9517,"new york","long island"
-72.5765686035156,41.0123176574707,37,9518,"new york","long island"
-72.502082824707,41.0581550598145,37,9519,"new york","long island"
-72.4218673706055,41.1097183227539,37,9520,"new york","long island"
-72.3416442871094,41.144100189209,37,9521,"new york","long island"
-72.3072738647461,41.1555557250977,37,9522,"new york","long island"
-72.2614364624023,41.144100189209,37,9523,"new york","long island"
-72.2671661376953,41.1326370239258,37,9524,"new york","long island"
-72.2900848388672,41.1211814880371,37,9525,"new york","long island"
-72.3416442871094,41.1269111633301,37,9526,"new york","long island"
-72.3588409423828,41.0982627868652,37,9527,"new york","long island"
-72.3932189941406,41.0810737609863,37,9528,"new york","long island"
-72.4218673706055,41.0696144104004,37,9529,"new york","long island"
-72.4161376953125,41.0295066833496,37,9530,"new york","long island"
-72.4505157470703,41.0237808227539,37,9531,"new york","long island"
-72.4734268188477,40.9951286315918,37,9532,"new york","long island"
-72.502082824707,40.9836730957031,37,9533,"new york","long island"
-72.5307312011719,40.9836730957031,37,9534,"new york","long island"
-72.5479125976562,40.9722099304199,37,9535,"new york","long island"
-72.5651016235352,40.9492912292480,37,9536,"new york","long island"
-72.588020324707,40.9378356933594,37,9537,"new york","long island"
-72.6338577270508,40.9321060180664,37,9538,"new york","long island"
-72.6338577270508,40.9149169921875,37,9539,"new york","long island"
-72.6166687011719,40.9091873168945,37,9540,"new york","long island"
-72.5708312988281,40.9091873168945,37,9541,"new york","long island"
-72.5421905517578,40.8977279663086,37,9542,"new york","long island"
-72.5364608764648,40.8748092651367,37,9543,"new york","long island"
-72.5536422729492,40.8518905639648,37,9544,"new york","long island"
-72.5078048706055,40.8518905639648,37,9545,"new york","long island"
-72.4676971435547,40.8690795898438,37,9546,"new york","long island"
-72.496353149414,40.8977279663086,37,9547,"new york","long island"
-75.8939895629883,36.5547065734863,38,9549,"north carolina","knotts"
-75.8596115112305,36.5547065734863,38,9550,"north carolina","knotts"
-75.8424224853516,36.5088691711426,38,9551,"north carolina","knotts"
-75.8252334594727,36.4515762329102,38,9552,"north carolina","knotts"
-75.8137741088867,36.3885498046875,38,9553,"north carolina","knotts"
-75.7793960571289,36.2911491394043,38,9554,"north carolina","knotts"
-75.7450256347656,36.2052040100098,38,9555,"north carolina","knotts"
-75.7278289794922,36.1536369323730,38,9556,"north carolina","knotts"
-75.7049179077148,36.1192588806152,38,9557,"north carolina","knotts"
-75.6819915771484,36.0619659423828,38,9558,"north carolina","knotts"
-75.6533508300781,36.021858215332,38,9559,"north carolina","knotts"
-75.5903244018555,35.9473724365234,38,9560,"north carolina","knotts"
-75.5788650512695,35.9072647094727,38,9561,"north carolina","knotts"
-75.5674057006836,35.8786201477051,38,9562,"north carolina","knotts"
-75.5502166748047,35.849967956543,38,9563,"north carolina","knotts"
-75.5387573242188,35.8213195800781,38,9564,"north carolina","knotts"
-75.5387573242188,35.8041305541992,38,9565,"north carolina","knotts"
-75.5502166748047,35.7926750183105,38,9566,"north carolina","knotts"
-75.5616760253906,35.7984046936035,38,9567,"north carolina","knotts"
-75.5731353759766,35.8041305541992,38,9568,"north carolina","knotts"
-75.5903244018555,35.84423828125,38,9569,"north carolina","knotts"
-75.5960464477539,35.8671569824219,38,9570,"north carolina","knotts"
-75.6075134277344,35.8900756835938,38,9571,"north carolina","knotts"
-75.6361541748047,35.9359130859375,38,9572,"north carolina","knotts"
-75.664810180664,35.9702911376953,38,9573,"north carolina","knotts"
-75.6877212524414,35.9932098388672,38,9574,"north carolina","knotts"
-75.6877212524414,36.021858215332,38,9575,"north carolina","knotts"
-75.6991882324219,36.0275840759277,38,9576,"north carolina","knotts"
-75.7507553100586,36.0505027770996,38,9577,"north carolina","knotts"
-75.767936706543,36.1078033447266,38,9578,"north carolina","knotts"
-75.767936706543,36.165096282959,38,9579,"north carolina","knotts"
-75.8195037841797,36.2796859741211,38,9580,"north carolina","knotts"
-75.8424224853516,36.3770904541016,38,9581,"north carolina","knotts"
-75.8596115112305,36.4171943664551,38,9582,"north carolina","knotts"
-75.8653411865234,36.4630317687988,38,9583,"north carolina","knotts"
-75.8825302124023,36.4974136352539,38,9584,"north carolina","knotts"
-75.8939895629883,36.5547065734863,38,9585,"north carolina","knotts"
-78.5582427978516,33.8675346374512,39,9587,"north carolina","main"
-78.6384506225586,33.9477462768555,39,9588,"north carolina","main"
-79.0567169189453,34.3029823303223,39,9589,"north carolina","main"
-79.4463272094727,34.6123809814453,39,9590,"north carolina","main"
-79.4463272094727,34.6181106567383,39,9591,"north carolina","main"
-79.6755065917969,34.801456451416,39,9592,"north carolina","main"
-79.6927032470703,34.807186126709,39,9593,"north carolina","main"
-79.9104232788086,34.807186126709,39,9594,"north carolina","main"
-80.3229598999023,34.8129158020020,39,9595,"north carolina","main"
-80.5406723022461,34.8129158020020,39,9596,"north carolina","main"
-80.7813186645508,34.8186454772949,39,9597,"north carolina","main"
-80.7755966186523,34.9275093078613,39,9598,"north carolina","main"
-80.8615341186523,35.0249099731445,39,9599,"north carolina","main"
-80.9073715209961,35.0822029113770,39,9600,"north carolina","main"
-80.9417495727539,35.116584777832,39,9601,"north carolina","main"
