"long","lat","group","order","region","subregion"
-91.2263412475586,43.4989547729492,14,3539,"iowa",NA
-91.2263412475586,43.4531211853027,14,3540,"iowa",NA
-91.2034225463867,43.4302024841309,14,3541,"iowa",NA
-91.1690444946289,43.4130134582520,14,3542,"iowa",NA
-91.15185546875,43.3614463806152,14,3543,"iowa",NA
-91.0716400146484,43.2984199523926,14,3544,"iowa",NA
-91.0601806640625,43.2640419006348,14,3545,"iowa",NA
-91.0716400146484,43.2411231994629,14,3546,"iowa",NA
-91.140396118164,43.1666412353516,14,3547,"iowa",NA
-91.1747741699219,43.1265296936035,14,3548,"iowa",NA
-91.1805038452148,43.080696105957,14,3549,"iowa",NA
-91.1747741699219,43.08642578125,14,3550,"iowa",NA
-91.15185546875,42.9947547912598,14,3551,"iowa",NA
-91.1289367675781,42.9202690124512,14,3552,"iowa",NA
-91.0888290405273,42.8744316101074,14,3553,"iowa",NA
-91.0716400146484,42.7884902954102,14,3554,"iowa",NA
-91.0601806640625,42.7541122436523,14,3555,"iowa",NA
-91.0086135864258,42.7311935424805,14,3556,"iowa",NA
-90.957046508789,42.7025451660156,14,3557,"iowa",NA
-90.8997573852539,42.6910858154297,14,3558,"iowa",NA
-90.8768310546875,42.6796264648438,14,3559,"iowa",NA
-90.8195419311523,42.6681671142578,14,3560,"iowa",NA
-90.7507858276367,42.6452484130859,14,3561,"iowa",NA
-90.69921875,42.6108741760254,14,3562,"iowa",NA
-90.6648406982422,42.5707626342773,14,3563,"iowa",NA
-90.6591110229492,42.5421180725098,14,3564,"iowa",NA
-90.6419219970703,42.5077400207520,14,3565,"iowa",NA
-90.6476516723633,42.5077400207520,14,3566,"iowa",NA
-90.6419219970703,42.4733619689941,14,3567,"iowa",NA
-90.4814987182617,42.3874168395996,14,3568,"iowa",NA
-90.4528427124023,42.3702278137207,14,3569,"iowa",NA
-90.4184646606445,42.3358535766602,14,3570,"iowa",NA
-90.4184646606445,42.2957458496094,14,3571,"iowa",NA
-90.4070129394531,42.2499084472656,14,3572,"iowa",NA
-90.3726272583008,42.2269897460938,14,3573,"iowa",NA
-90.3267974853516,42.2040710449219,14,3574,"iowa",NA
-90.24658203125,42.175422668457,14,3575,"iowa",NA
-90.1778259277344,42.1353187561035,14,3576,"iowa",NA
-90.16064453125,42.1009368896484,14,3577,"iowa",NA
-90.1491775512695,42.0379104614258,14,3578,"iowa",NA
-90.1377182006836,42.0092658996582,14,3579,"iowa",NA
-90.1491775512695,41.9634284973145,14,3580,"iowa",NA
-90.16064453125,41.9347801208496,14,3581,"iowa",NA
-90.16064453125,41.8946723937988,14,3582,"iowa",NA
-90.1778259277344,41.8373794555664,14,3583,"iowa",NA
-90.1892852783203,41.8201904296875,14,3584,"iowa",NA
-90.240852355957,41.7915420532227,14,3585,"iowa",NA
-90.2695007324219,41.7800827026367,14,3586,"iowa",NA
-90.3038787841797,41.7571640014648,14,3587,"iowa",NA
-90.3210678100586,41.722785949707,14,3588,"iowa",NA
-90.3267974853516,41.6941375732422,14,3589,"iowa",NA
-90.3439865112305,41.6196556091309,14,3590,"iowa",NA
-90.3554458618164,41.596736907959,14,3591,"iowa",NA
-90.4127349853516,41.5623550415039,14,3592,"iowa",NA
-90.4585723876953,41.5394401550293,14,3593,"iowa",NA
-90.5445175170898,41.5222511291504,14,3594,"iowa",NA
-90.607551574707,41.4993362426758,14,3595,"iowa",NA
-90.6533889770508,41.4649543762207,14,3596,"iowa",NA
-90.7164077758789,41.4592247009277,14,3597,"iowa",NA
-90.7737045288086,41.4592247009277,14,3598,"iowa",NA
-90.8367309570312,41.453498840332,14,3599,"iowa",NA
-90.8768310546875,41.4477653503418,14,3600,"iowa",NA
-90.9284057617188,41.4305801391602,14,3601,"iowa",NA
-90.9857025146484,41.4305801391602,14,3602,"iowa",NA
-91.0143432617188,41.4305801391602,14,3603,"iowa",NA
-91.0372619628906,41.4076614379883,14,3604,"iowa",NA
-91.06591796875,41.3446350097656,14,3605,"iowa",NA
-91.0601806640625,41.3274459838867,14,3606,"iowa",NA
-91.06591796875,41.3102569580078,14,3607,"iowa",NA
-91.0888290405273,41.270149230957,14,3608,"iowa",NA
-91.0888290405273,41.2300453186035,14,3609,"iowa",NA
-91.0544509887695,41.2013931274414,14,3610,"iowa",NA
-91.0200805664062,41.1784744262695,14,3611,"iowa",NA
-90.9857025146484,41.1555557250977,14,3612,"iowa",NA
-90.957046508789,41.1154518127441,14,3613,"iowa",NA
-90.9513168334961,41.0810737609863,14,3614,"iowa",NA
-90.9455871582031,41.0696144104004,14,3615,"iowa",NA
-90.9513168334961,40.9664802551270,14,3616,"iowa",NA
-90.9742431640625,40.9321060180664,14,3617,"iowa",NA
-91.0429916381836,40.8748092651367,14,3618,"iowa",NA
-91.0888290405273,40.8232421875,14,3619,"iowa",NA
-91.1002883911133,40.7544898986816,14,3620,"iowa",NA
-91.1117477416992,40.7086524963379,14,3621,"iowa",NA
-91.1117477416992,40.6800041198730,14,3622,"iowa",NA
-91.146125793457,40.6570854187012,14,3623,"iowa",NA
-91.1862335205078,40.6341667175293,14,3624,"iowa",NA
-91.2664489746094,40.6227073669434,14,3625,"iowa",NA
-91.3065567016602,40.6227073669434,14,3626,"iowa",NA
-91.3523941040039,40.6112480163574,14,3627,"iowa",NA
-91.3753051757812,40.5883293151855,14,3628,"iowa",NA
-91.415412902832,40.5654106140137,14,3629,"iowa",NA
-91.415412902832,40.5539512634277,14,3630,"iowa",NA
-91.3753051757812,40.4966545104980,14,3631,"iowa",NA
-91.3925018310547,40.4450912475586,14,3632,"iowa",NA
-91.3925018310547,40.4221725463867,14,3633,"iowa",NA
-91.3867721557617,40.3935241699219,14,3634,"iowa",NA
-91.409683227539,40.3820648193359,14,3635,"iowa",NA
-91.415412902832,40.376335144043,14,3636,"iowa",NA
-91.4898986816406,40.4164428710938,14,3637,"iowa",NA
-91.5242767333984,40.4737358093262,14,3638,"iowa",NA
-91.5873031616211,40.5081176757812,14,3639,"iowa",NA
-91.615951538086,40.5654106140137,14,3640,"iowa",NA
-91.6675186157227,40.5654106140137,14,3641,"iowa",NA
-91.7018966674805,40.6169776916504,14,3642,"iowa",NA
-91.9368057250977,40.6169776916504,14,3643,"iowa",NA
-92.1717224121094,40.6169776916504,14,3644,"iowa",NA
-92.3436126708984,40.6112480163574,14,3645,"iowa",NA
-92.6300888061523,40.6055183410645,14,3646,"iowa",NA
-92.6873779296875,40.6055183410645,14,3647,"iowa",NA
-93.0999145507812,40.6055183410645,14,3648,"iowa",NA
-93.3749313354492,40.5997886657715,14,3649,"iowa",NA
-93.5697402954102,40.5997886657715,14,3650,"iowa",NA
-93.7760009765625,40.5997886657715,14,3651,"iowa",NA
-94.0166473388672,40.5997886657715,14,3652,"iowa",NA
-94.2400970458984,40.5940628051758,14,3653,"iowa",NA
-94.4807434082031,40.5940628051758,14,3654,"iowa",NA
-94.6354370117188,40.5940628051758,14,3655,"iowa",NA
-94.9161911010742,40.5997886657715,14,3656,"iowa",NA
-95.2026672363281,40.6055183410645,14,3657,"iowa",NA
-95.3745574951172,40.6055183410645,14,3658,"iowa",NA
-95.7527084350586,40.6112480163574,14,3659,"iowa",NA
-95.76416015625,40.6055183410645,14,3660,"iowa",NA
-95.769889831543,40.6398963928223,14,3661,"iowa",NA
-95.7928161621094,40.6628150939941,14,3662,"iowa",NA
-95.8329238891602,40.691463470459,14,3663,"iowa",NA
-95.8615646362305,40.7201080322266,14,3664,"iowa",NA
-95.873031616211,40.7487602233887,14,3665,"iowa",NA
-95.867301940918,40.7659454345703,14,3666,"iowa",NA
-95.8443756103516,40.8117828369141,14,3667,"iowa",NA
-95.8558349609375,40.8518905639648,14,3668,"iowa",NA
-95.8271942138672,40.9091873168945,14,3669,"iowa",NA
-95.8271942138672,40.9321060180664,14,3670,"iowa",NA
-95.8214645385742,40.9492912292480,14,3671,"iowa",NA
-95.8386535644531,40.9722099304199,14,3672,"iowa",NA
-95.873031616211,41.0295066833496,14,3673,"iowa",NA
-95.873031616211,41.0466995239258,14,3674,"iowa",NA
-95.873031616211,41.0753440856934,14,3675,"iowa",NA
-95.8558349609375,41.0982627868652,14,3676,"iowa",NA
-95.873031616211,41.1326370239258,14,3677,"iowa",NA
-95.8844833374023,41.1612892150879,14,3678,"iowa",NA
-95.8902130126953,41.1784744262695,14,3679,"iowa",NA
-95.9016723632812,41.2185821533203,14,3680,"iowa",NA
-95.9016723632812,41.2586898803711,14,3681,"iowa",NA
-95.878761291504,41.2930679321289,14,3682,"iowa",NA
